Disease_Name,Category,Severity_Level,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Medication_1,Medication_2,Medication_3,
Legionnaires’ Disease,Infectious,Severe,Chest pain,Cough,Fever,Muscle pain,,,,Azithromycin,Levofloxacin,,
Norovirus Infection,Infectious,Mild,Diarrhea,Vomiting,Stomach cramps,Nausea,,,,Oral rehydration salts,Antiemetics,,
Salmonella Infection,Infectious,Mild,Diarrhea,Abdominal cramps,Vomiting,Fever,,,,Rehydration therapy,Antibiotics (if needed),,
Shigellosis,Infectious,Moderate,Diarrhea,Stomach pain,Dehydration,Fever,,,,Azithromycin,Ciprofloxacin,,
Giardiasis,Infectious,Moderate,Diarrhea,Bloating,Cramps,Gas,,,,Metronidazole,Tinidazole,,
Amoebiasis,Infectious,Moderate,Diarrhea,Stomach cramps,Fever,Weight loss,,,,Metronidazole,Paromomycin,,
Ascariasis,Infectious,Mild,Worms in stool,Abdominal pain,Cough,Nausea,,,,Albendazole,Mebendazole,,
Otosclerosis,ENT,Moderate,Hearing loss,Tinnitus,Imbalance,Ear fullness,,,,Sodium fluoride,Bisphosphonates,Surgery (Stapedectomy),
Scleroderma,Autoimmune,Severe,Skin thickening,Joint pain,Raynaud’s phenomenon,Fatigue,Heartburn,,,Methotrexate,Mycophenolate mofetil,Prednisone,
Giant Cell Arteritis,Autoimmune,Severe,Vision loss,Headache,Jaw claudication,Scalp tenderness,Fever,,,Prednisone,Tocilizumab,Aspirin,
Narcolepsy,Neurological,Chronic,Excessive daytime sleepiness,Cataplexy,Hallucinations,Sleep paralysis,Disrupted sleep,,,Modafinil,Sodium oxybate,Methylphenidate,
Hemophilia,Genetic,Severe,Prolonged bleeding,Joint pain,Nosebleeds,Bruising,Blood in urine,,,Factor VIII,Factor IX,Desmopressin,
Multiple Myeloma,Cancer,Severe,Bone pain,Fatigue,Nausea,Frequent infections,Confusion,,,Bortezomib,Lenalidomide,Dexamethasone,
Polycythemia Vera,Blood,Moderate,Itching,Headache,Blurred vision,Dizziness,Red skin tone,,,Hydroxyurea,Aspirin,Phlebotomy,
Raynaud’s Disease,Vascular,Mild,Cold fingers/toes,Numbness,Color change in skin,Tingling,Pain,,,Nifedipine,Losartan,Topical nitrates,
Endometriosis,Reproductive,Moderate,Pelvic pain,Painful periods,Pain during sex,Fatigue,Infertility,,,Naproxen,Hormonal therapy,Letrozole,
Polycystic Ovary Syndrome (PCOS),Reproductive,Moderate,Irregular periods,Acne,Hair growth,Weight gain,Infertility,,,Metformin,Spironolactone,Oral contraceptives,
Hypoparathyroidism,Hormonal,Moderate,Muscle cramps,Tingling,Dry skin,Fatigue,Hair loss,,,Calcium carbonate,Calcitriol,Vitamin D,
Hyperparathyroidism,Hormonal,Moderate,Kidney stones,Bone pain,Depression,Abdominal pain,Fatigue,,,Cinacalcet,Bisphosphonates,Surgery,
Trigeminal Neuralgia,Neurological,Severe,Facial pain,Shocking pain,Jaw pain,Tingling,Headache,,,Carbamazepine,Baclofen,Gabapentin,
Rosacea,Skin,Mild,Redness,Pimples,Eye irritation,Burning skin,Visible blood vessels,,,Metronidazole cream,Azelaic acid,Doxycycline,
Plantar Fasciitis,Musculoskeletal,Mild,Heel pain,Arch pain,Difficulty walking,Swelling,Stiffness,,,Ibuprofen,Orthotics,Physical therapy,
Ankylosing Spondylitis,Autoimmune,Chronic,Back pain,Stiffness,Eye inflammation,Reduced flexibility,Fatigue,,,NSAIDs,TNF inhibitors,Sulfasalazine,
Hemochromatosis,Metabolic,Moderate,Skin darkening,Fatigue,Abdominal pain,Joint pain,Diabetes,,,Phlebotomy,Chelation therapy,Deferasirox,
Addison’s Disease,Endocrine,Severe,Fatigue,Weight loss,Abdominal pain,Low BP,Darkened skin,,,Hydrocortisone,Fludrocortisone,Salt tablets,
Cushing’s Syndrome,Endocrine,Moderate,Weight gain,Thin skin,Acne,Mood swings,Weakness,,,Ketoconazole,Metyrapone,Surgery,
Wilson’s Disease,Genetic,Severe,Jaundice,Tremors,Abdominal pain,Difficulty walking,Mood changes,,,Penicillamine,Trientine,Zinc acetate,
Vitiligo,Skin,Mild,White patches,Hair color loss,Skin sensitivity,Social stress,Sunburn risk,,,Tacrolimus,Corticosteroids,PUVA therapy,
Bell’s Palsy,Neurological,Mild,Facial drooping,Drooling,Eye dryness,Headache,Loss of taste,,,Prednisone,Acyclovir,Lubricating eye drops,
Dystonia,Neurological,Moderate,Muscle spasms,Twisting movements,Fatigue,Pain,Tremors,,,Botulinum toxin,Trihexyphenidyl,Diazepam,
Ménière’s Disease,ENT,Moderate,Vertigo,Hearing loss,Tinnitus,Fullness in ear,Nausea,,,Diuretics,Betahistine,Diazepam,
ALS (Amyotrophic Lateral Sclerosis),Neurological,Severe,Muscle weakness,Slurred speech,Cramping,Breathing issues,Paralysis,,,Riluzole,Edaravone,Supportive therapy,
Lupus (SLE),Autoimmune,Severe,Joint pain,Rash,Fatigue,Fever,Chest pain,,,Hydroxychloroquine,Prednisone,Methotrexate,
Dermatomyositis,Autoimmune,Severe,Skin rash,Muscle weakness,Fatigue,Difficulty swallowing,Weight loss,,,Prednisone,Azathioprine,IVIG,
Fibromyalgia,Musculoskeletal,Moderate,Widespread pain,Fatigue,Sleep disturbances,Memory issues,Anxiety,,,Duloxetine,Pregabalin,Amitriptyline,
Cystic Fibrosis,Genetic,Severe,Cough,Lung infections,Poor growth,Salty skin,Wheezing,,,Ivacaftor,Dornase alfa,Pancreatic enzymes,
Pityriasis Rosea,Skin,Mild,Rash,Itching,Fatigue,Sore throat,Pink oval patches,,,Antihistamines,Calamine lotion,Acyclovir,
Atopic Dermatitis (Eczema),Skin,Mild,Dry skin,Itching,Rash,Red patches,Skin cracking,,,Hydrocortisone,Moisturizers,Antihistamines,
Tarsal Tunnel Syndrome,Neurological,Moderate,Foot pain,Numbness,Tingling,Burning sensation,Swelling,,,NSAIDs,Corticosteroid injection,Physical therapy,
Kawasaki Disease,Pediatric,Severe,Fever,Rash,Red eyes,Swollen lymph nodes,Cracked lips,,,IVIG,Aspirin,Steroids,
Reye's Syndrome,Pediatric,Severe,Vomiting,Confusion,Seizures,Liver dysfunction,Coma,,,Mannitol,Vitamin K,Supportive care,
Sjogren’s Syndrome,Autoimmune,Moderate,Dry eyes,Dry mouth,Fatigue,Joint pain,Swelling,,,Pilocarpine,Hydroxychloroquine,Artificial tears,
Epididymitis,Reproductive,Moderate,Scrotal pain,Swelling,Fever,Painful urination,Discharge,,,Doxycycline,Ciprofloxacin,NSAIDs,
Orchitis,Reproductive,Moderate,Testicular pain,Swelling,Fever,Nausea,Vomiting,,,Ceftriaxone,Azithromycin,Supportive care,
Urticaria (Hives),Allergic,Mild,Itching,Raised welts,Redness,Burning sensation,Swelling,,,Antihistamines,Prednisone,Epinephrine (if severe),
Pericarditis,Cardiovascular,Severe,Chest pain,Fatigue,Shortness of breath,Fever,Palpitations,,,Colchicine,NSAIDs,Prednisone,
Marfan Syndrome,Genetic,Chronic,Tall stature,Long fingers,Joint hypermobility,Eye problems,Heart issues,,,Beta-blockers,Losartan,Surgery (if needed),
Paget’s Disease (Bone),Musculoskeletal,Moderate,Bone pain,Joint stiffness,Enlarged bones,Fractures,Fatigue,,,Bisphosphonates,Calcitonin,Pain relievers,
Fragile X Syndrome,Genetic,Chronic,Learning difficulties,Large ears,Hyperactivity,Anxiety,Speech delay,,,Behavioral therapy,Educational support,Anti-anxiety meds,
Guillain-Barré Syndrome,Neurological,Severe,Weakness,Tingling,Paralysis,Difficulty breathing,Pain,,,IVIG,Plasmapheresis,Supportive care,
Herpes Zoster (Shingles),Infectious,Moderate,Painful rash,Burning,Blisters,Itching,Fatigue,,,Acyclovir,Valacyclovir,Pain relievers,
Bowen’s Disease,Skin,Mild,Scaly patch,Red lesion,Itching,Skin irritation,Dryness,,,Fluorouracil cream,Imiquimod,Cryotherapy,
Scabies,Parasitic,Mild,Itching,Red bumps,Skin rash,Blisters,Burrows,,,Permethrin cream,Ivermectin,Antihistamines,
Molluscum Contagiosum,Viral,Mild,Small bumps,Itching,White core,Skin lesions,Dryness,,,Cryotherapy,Cantharidin,Imiquimod,
Urticaria (Hives),Allergic,Mild,Swelling,Burning sensation,Itching,Raised welts,Redness,,,Antihistamines,Prednisone,Epinephrine (if severe),
Pericarditis,Cardiovascular,Severe,Chest pain,Shortness of breath,Palpitations,Fever,Fatigue,,,Colchicine,NSAIDs,Prednisone,
Marfan Syndrome,Genetic,Chronic,Heart issues,Eye problems,Joint hypermobility,Tall stature,Long fingers,,,Beta-blockers,Losartan,Surgery (if needed),
Paget’s Disease (Bone),Musculoskeletal,Moderate,Fractures,Bone pain,Joint stiffness,Enlarged bones,Fatigue,,,Bisphosphonates,Calcitonin,Pain relievers,
Fragile X Syndrome,Genetic,Chronic,Speech delay,Learning difficulties,Anxiety,Hyperactivity,Large ears,,,Behavioral therapy,Educational support,Anti-anxiety meds,
Guillain-Barré Syndrome,Neurological,Severe,Difficulty breathing,Paralysis,Weakness,Pain,Tingling,,,IVIG,Plasmapheresis,Supportive care,
Herpes Zoster (Shingles),Infectious,Moderate,Painful rash,Blisters,Burning,Itching,Fatigue,,,Acyclovir,Valacyclovir,Pain relievers,
Bowen’s Disease,Skin,Mild,Scaly patch,Red lesion,Skin irritation,Itching,Dryness,,,Fluorouracil cream,Imiquimod,Cryotherapy,
Scabies,Parasitic,Mild,Blisters,Red bumps,Itching,Skin rash,Burrows,,,Permethrin cream,Ivermectin,Antihistamines,
Molluscum Contagiosum,Viral,Mild,Small bumps,Skin lesions,Itching,White core,Dryness,,,Cryotherapy,Cantharidin,Imiquimod,
Pseudotumor Cerebri,Neurological,Moderate,Vision problems,Headache,Dizziness,Nausea,Ringing in ears,,,Acetazolamide,Topiramate,Spinal tap,
Temporal Lobe Epilepsy,Neurological,Moderate,Seizures,Memory loss,Confusion,Mood changes,Strange smells,,,Carbamazepine,Lamotrigine,Levetiracetam,
Pulmonary Fibrosis,Respiratory,Severe,Shortness of breath,Chest discomfort,Dry cough,Fatigue,Clubbing of fingers,,,Nintedanib,Pirfenidone,Oxygen therapy,
Bronchiectasis,Respiratory,Moderate,Breathlessness,Chronic cough,Sputum production,Chest pain,Wheezing,,,Antibiotics,Bronchodilators,Chest physiotherapy,
Noonan Syndrome,Genetic,Chronic,Heart defects,Learning issues,Short stature,Webbed neck,Facial abnormalities,,,Growth hormone,Heart meds,Special education,
Neurofibromatosis,Genetic,Chronic,Vision loss,Hearing loss,Bone deformities,Skin nodules,Café-au-lait spots,,,Surgery (if needed),Radiation therapy,Supportive care,
Alport Syndrome,Genetic,Severe,Blood in urine,Hearing loss,Vision issues,Swelling,Fatigue,,,ACE inhibitors,Dialysis,Kidney transplant,
Retinitis Pigmentosa,Genetic,Chronic,Vision loss,Tunnel vision,Night blindness,Difficulty adjusting to dark,Eye strain,,,Vitamin A,Lutein supplements,Low-vision aids,
Myasthenia Gravis,Autoimmune,Severe,Muscle weakness,Difficulty swallowing,Drooping eyelids,Blurred vision,Fatigue,,,Pyridostigmine,Prednisone,Azathioprine,
Tuberous Sclerosis,Genetic,Chronic,Seizures,Developmental delay,Behavior issues,Kidney tumors,Skin spots,,,Antiepileptics,Everolimus,Behavioral therapy,
Becker Muscular Dystrophy,Genetic,Severe,Muscle weakness,Difficulty walking,Heart issues,Fatigue,Learning issues,,,Steroids,Physical therapy,Cardiac medications,
Achondroplasia,Genetic,Chronic,Spinal stenosis,Short limbs,Delayed milestones,Large head,Normal torso,,,Growth monitoring,Physical therapy,Surgery (if needed),
Lichen Planus,Skin,Mild,Oral sores,Itching,Purple rash,Nail changes,Scalp involvement,,,Corticosteroids,Antihistamines,Retinoids,
Barth Syndrome,Genetic,Severe,Heart failure,Muscle weakness,Fatigue,Neutropenia,Growth delay,,,Carnitine,Antibiotics,Heart meds,
Zellweger Syndrome,Genetic,Severe,Seizures,Developmental delay,Poor muscle tone,Feeding issues,Vision problems,,,Supportive care,Physical therapy,Nutritional support,
Ehlers-Danlos Syndrome,Genetic,Chronic,Joint pain,Hypermobile joints,Easy bruising,Elastic skin,Fatigue,,,Pain relievers,Physiotherapy,Bracing,
Congenital Adrenal Hyperplasia,Endocrine,Severe,Dehydration,Vomiting,Weight loss,Ambiguous genitalia,Fatigue,,,Hydrocortisone,Fludrocortisone,Electrolyte therapy,
Tay-Sachs Disease,Genetic,Severe,Paralysis,Seizures,Vision loss,Muscle weakness,Startle response,,,Supportive care,Physical therapy,Anti-seizure medications,
Gaucher Disease,Genetic,Moderate,Bone pain,Enlarged spleen,Joint stiffness,Fatigue,Easy bruising,,,Enzyme replacement,Analgesics,Surgery (if needed),
Angelman Syndrome,Genetic,Chronic,Seizures,Developmental delay,Speech problems,Unsteady walking,Frequent smiling,,,Anti-seizure meds,Physical therapy,Behavioral therapy,
Prader-Willi Syndrome,Genetic,Chronic,Obesity (later),Weak muscle tone,Poor feeding (infants),Behavioral issues,Short stature,,,Growth hormone,Nutritional counseling,Behavioral therapy,
Smith-Lemli-Opitz Syndrome,Genetic,Severe,Intellectual disability,Growth retardation,Behavioral issues,Microcephaly,Facial anomalies,,,Cholesterol therapy,Supportive care,Developmental support,
Wiskott-Aldrich Syndrome,Genetic/Immuno,Severe,Frequent infections,Bleeding,Low platelets,Autoimmunity,Eczema,,,Immunoglobulin therapy,Bone marrow transplant,Antibiotics,
Rett Syndrome,Neurological,Severe,Seizures,Loss of hand function,Breathing irregularities,Walking issues,Repetitive movements,,,Anti-seizure meds,Physical therapy,Behavioral therapy,
Krabbe Disease,Genetic,Severe,Seizures,Developmental delay,Muscle stiffness,Feeding difficulty,Irritability,,,Stem cell transplant,Anti-seizure meds,Supportive care,
Niemann-Pick Disease,Genetic,Severe,Seizures,Developmental delay,Difficulty swallowing,Poor coordination,Enlarged liver,,,Enzyme replacement,Physical therapy,Nutritional support,
Canavan Disease,Genetic,Severe,Seizures,Low muscle tone,Blindness,Feeding issues,Poor head control,,,Supportive care,Physical therapy,Anti-seizure medications,
Maple Syrup Urine Disease,Metabolic,Severe,Seizures,Vomiting,Lethargy,Poor feeding,Sweet-smelling urine,,,Special diet,Thiamine supplements,Emergency dialysis,
Phenylketonuria (PKU),Metabolic,Severe,Intellectual disability,Seizures,Delayed development,Behavioral issues,Musty odor,,,Low-protein diet,Special formula,Tyrosine supplements,
Homocystinuria,Metabolic,Severe,Thrombosis,Intellectual disability,Behavioral problems,Lens dislocation,Long limbs,,,Vitamin B6,Betaine,Dietary restriction,
Citrullinemia,Metabolic,Severe,Seizures,Vomiting,Lethargy,Confusion,Swelling,,,Low-protein diet,Arginine,Sodium benzoate,
Tyrosinemia,Metabolic,Severe,Liver dysfunction,Vomiting,Jaundice,Diarrhea,Cabbage-like odor,,,NTBC (nitisinone),Special diet,Liver transplant,
Fabry Disease,Genetic,Moderate,Pain in hands/feet,Skin lesions,GI issues,Heat intolerance,Decreased sweating,,,Enzyme replacement,Pain relievers,Anti-arrhythmic meds,
Mucopolysaccharidosis,Genetic,Severe,Developmental delay,Coarse facial features,Joint stiffness,Hearing loss,Enlarged liver/spleen,,,Enzyme replacement,Surgery (if needed),Physical therapy,
Menkes Disease,Genetic,Severe,Developmental delay,Seizures,Hypotonia,Growth failure,Sparse kinky hair,,,Copper injections,Supportive care,Anti-seizure meds,
Leigh Syndrome,Mitochondrial,Severe,Seizures,Muscle weakness,Respiratory issues,Vomiting,Poor sucking reflex,,,Vitamin B1,Coenzyme Q10,Supportive therapy,
Adrenoleukodystrophy,Genetic,Severe,Seizures,Muscle weakness,Vision problems,Behavioral changes,Fatigue,,,Lorenzo's oil,Steroids,Bone marrow transplant,
Galactosemia,Metabolic,Severe,Jaundice,Vomiting,Poor feeding,Liver enlargement,Cataracts,,,Lactose-free diet,Calcium supplements,Vitamin D,
Pyruvate Dehydrogenase Deficiency,Metabolic,Severe,Seizures,Developmental delay,Hypotonia,Poor coordination,Lactic acidosis,,,Ketogenic diet,Vitamin B1,Supportive therapy,
Wilson’s Disease,Metabolic,Severe,Liver damage,Neurological symptoms,Behavioral changes,Tremors,Yellowing of eyes,,,Zinc acetate,Penicillamine,Liver transplant,
Hartnup Disorder,Genetic,Mild,Skin rash,Ataxia,Mood changes,Diarrhea,Sun sensitivity,,,Niacin supplements,High-protein diet,Sun protection,
Lesch-Nyhan Syndrome,Genetic,Severe,Self-injury behaviors,Muscle stiffness,Aggression,Developmental delay,Gout,,,Allopurinol,Supportive care,Behavioral therapy,
Bartholin Cyst,Reproductive,Mild,Pain,Swelling,Redness,Discomfort,Vulvar lump,,,Warm compress,Antibiotics,Surgical drainage,
Vulvodynia,Reproductive,Moderate,Vulvar pain,Painful intercourse,Burning,Itching,Raw sensation,,,Amitriptyline,Gabapentin,Topical lidocaine,
Lichen Sclerosus,Dermatological,Moderate,Itching,Pain,Fragile skin,Bleeding,White skin patches,,,Topical steroids,Moisturizers,Immune modulators,
Polymyalgia Rheumatica,Autoimmune,Moderate,Muscle pain,Stiffness,Fatigue,Fever,Weight loss,,,Corticosteroids,NSAIDs,Physical therapy,
Hypogammaglobulinemia,Immunological,Moderate,Frequent infections,Fatigue,Ear infections,Sinusitis,Swollen lymph nodes,,,Immunoglobulin therapy,Antibiotics,Antivirals,
DiGeorge Syndrome,Genetic/Immuno,Severe,Heart defects,Poor immune system,Cleft palate,Learning issues,Low calcium levels,,,Calcium supplements,Vitamin D,Surgery (if needed),
Hypereosinophilic Syndrome,Hematologic,Severe,High eosinophil count,Fatigue,Fever,Shortness of breath,Rash,,,Corticosteroids,Hydroxyurea,Targeted therapy,
Castleman Disease,Lymphoproliferative,Moderate,Enlarged lymph nodes,Fatigue,Fever,Weight loss,Night sweats,,,Corticosteroids,Immunotherapy,Surgery,
Goodpasture Syndrome,Autoimmune,Severe,Blood in urine,Shortness of breath,Fatigue,Swelling,Cough with blood,,,Immunosuppressants,Plasmapheresis,Corticosteroids,
Granulomatosis with Polyangiitis,Autoimmune,Severe,Bloody nose,Nasal congestion,Fatigue,Joint pain,Cough,,,Cyclophosphamide,Prednisone,Rituximab,
Churg-Strauss Syndrome,Autoimmune,Severe,Asthma,Eosinophilia,Fatigue,Rash,GI pain,,,Steroids,Immunosuppressants,Biologic agents,
Behçet’s Disease,Autoimmune,Moderate,Mouth ulcers,Genital ulcers,Eye inflammation,Skin lesions,Joint pain,,,Colchicine,Corticosteroids,Immunosuppressants,
Cryoglobulinemia,Autoimmune,Moderate,Rash,Joint pain,Numbness,Fatigue,Kidney issues,,,Antivirals,Corticosteroids,Plasmapheresis,
Reye's Syndrome,Metabolic,Severe,Vomiting,Confusion,Seizures,Loss of consciousness,Liver dysfunction,,,Hospitalization,Supportive care,IV fluids,
Pityriasis Rosea,Dermatological,Mild,Rash,Itching,Fatigue,Headache,Fever,,,Antihistamines,Moisturizers,Topical steroids,
Tuberous Sclerosis,Genetic,Moderate,Skin lesions,Seizures,Developmental delay,Behavioral issues,Tumors,,,Antiepileptic drugs,Surgery (if needed),Supportive therapy,
Kartagener Syndrome,Genetic,Moderate,Chronic sinusitis,Bronchiectasis,Situs inversus,Cough,Infertility,,,Chest physiotherapy,Antibiotics,Nasal saline,
Ataxia Telangiectasia,Genetic,Severe,Loss of coordination,Dilated blood vessels,Repeated infections,Slurred speech,Fatigue,,,Physical therapy,Immune support,Supportive care,
Xeroderma Pigmentosum,Genetic,Severe,Sun sensitivity,Dry skin,Freckling,Eye irritation,Skin cancer risk,,,Sunscreens,Protective clothing,Vitamin A derivatives,
Alkaptonuria,Metabolic,Moderate,Dark urine,Joint pain,Arthritis,Heart issues,Skin discoloration,,,Nitisinone,Pain relievers,Physical therapy,
Glutaric Aciduria Type 1,Metabolic,Severe,Encephalopathy,Dystonia,Seizures,Macrocephaly,Vomiting,,,Carnitine supplements,Low-lysine diet,Riboflavin,
Isovaleric Acidemia,Metabolic,Severe,Vomiting,Lethargy,Seizures,Sweaty feet odor,Poor feeding,,,Glycine,Carnitine,Low-protein diet,
Methylmalonic Acidemia,Metabolic,Severe,Failure to thrive,Vomiting,Lethargy,Seizures,Coma,,,Vitamin B12,Carnitine,Dietary management,
Propionic Acidemia,Metabolic,Severe,Weak muscle tone,Vomiting,Lethargy,Seizures,Poor appetite,,,Biotin,Carnitine,Low-protein diet,
Hyperornithinemia-Hyperammonemia,Metabolic,Severe,Vomiting,Lethargy,Irritability,Seizures,Poor feeding,,,Low-protein diet,Sodium benzoate,Arginine,
Argininosuccinic Aciduria,Metabolic,Severe,Vomiting,Lethargy,Seizures,Swelling,Behavioral issues,,,Low-protein diet,Arginine,Sodium benzoate,
Glycogen Storage Disease I,Metabolic,Severe,Enlarged liver,Low blood sugar,Lethargy,Irritability,Swollen belly,,,Cornstarch,Allopurinol,Nutritional support,
Biotinidase Deficiency,Metabolic,Severe,Hair loss,Skin rash,Developmental delay,Seizures,Weak muscles,,,Biotin supplements,Supportive care,Physical therapy,
Carnitine Palmitoyltransferase Deficiency,Metabolic,Severe,Muscle pain,Hypoglycemia,Weakness,Exercise intolerance,Fatigue,,,Carnitine supplements,Glucose intake,Low-fat diet,
Refsum Disease,Metabolic,Severe,Night blindness,Ataxia,Skin scaling,Hearing loss,Muscle weakness,,,Dietary restriction,Plasmapheresis,Vitamin A control,
Wolfram Syndrome,Genetic,Severe,Diabetes mellitus,Vision loss,Deafness,Urinary problems,Neurological decline,,,Insulin,Cochlear implants,Supportive care,
Lowe Syndrome,Genetic,Severe,Cataracts,Kidney issues,Muscle weakness,Intellectual disability,Behavioral problems,,,Eye surgery,Electrolyte management,Supportive care,
Plantar Fasciitis,Orthopedic,Mild,Heel pain,Foot stiffness,Morning pain,Arch discomfort,Swelling,,,Ibuprofen,Naproxen,Stretching exercises,
Tennis Elbow,Orthopedic,Mild,Elbow pain,Weak grip,Forearm stiffness,Swelling,Limited movement,,,Ibuprofen,Physical therapy,Ice packs,
Carpal Tunnel Syndrome,Orthopedic/Neuro,Moderate,Wrist pain,Numb fingers,Tingling,Hand weakness,Night pain,,,Ibuprofen,Cortisone injection,Splint,
Sciatica,Neurological,Moderate,Lower back pain,Leg pain,Numbness,Tingling,Difficulty moving,,,Gabapentin,Ibuprofen,Physiotherapy,
Bursitis,Orthopedic,Mild,Joint pain,Swelling,Warmth,Redness,Stiffness,,,Ibuprofen,Naproxen,Rest,
Glaucoma,Eye,Chronic,Eye pain,Blurred vision,Halos around lights,Nausea,Headache,,,Timolol,Latanoprost,Acetazolamide,
Cataracts,Eye,Moderate,Cloudy vision,Glare sensitivity,Faded colors,Night vision problems,Double vision,,,Surgery,-,-,
Conjunctivitis (Pink Eye),Eye/Infectious,Mild,Red eyes,Itching,Tearing,Swollen eyelids,Gritty feeling,,,Chloramphenicol,Artificial tears,Warm compress,
Dry Eye Syndrome,Eye,Mild,Dry eyes,Itching,Redness,Light sensitivity,Blurred vision,,,Artificial tears,Cyclosporine,Omega-3 supplements,
Keratitis,Eye/Infectious,Moderate,Eye pain,Redness,Light sensitivity,Tearing,Blurred vision,,,Acyclovir,Ofloxacin,Steroid drops,
Otitis Externa (Swimmer's Ear),ENT,Mild,Ear pain,Itching,Redness,Drainage,Swelling,,,Ciprofloxacin drops,Acetaminophen,Ear wick,
Labyrinthitis,ENT/Neurological,Moderate,Vertigo,Hearing loss,Nausea,Ringing in ears,Balance issues,,,Meclizine,Prednisone,Rest,
Meniere’s Disease,ENT/Neurological,Chronic,Vertigo,Tinnitus,Hearing loss,Fullness in ear,Nausea,,,Betahistine,Diuretics,Low-salt diet,
Hypothyroidism,Endocrine,Chronic,Fatigue,Weight gain,Cold sensitivity,Depression,Constipation,,,Levothyroxine,-,-,
Hyperthyroidism,Endocrine,Chronic,Weight loss,Heat intolerance,Anxiety,Palpitations,Tremors,,,Methimazole,Propranolol,Radioactive iodine,
Addison’s Disease,Endocrine,Chronic,Fatigue,Weight loss,Low blood pressure,Hyperpigmentation,Cravings for salt,,,Hydrocortisone,Fludrocortisone,-,
Cushing's Syndrome,Endocrine,Chronic,Weight gain,Fatigue,High blood pressure,Stretch marks,Mood swings,,,Ketoconazole,Metyrapone,Surgery,
Anemia (Iron Deficiency),Hematologic,Moderate,Fatigue,Pale skin,Dizziness,Cold hands/feet,Headache,,,Iron supplements,Vitamin C,Dietary change,
Thalassemia,Hematologic/Genetic,Chronic,Fatigue,Pale skin,Bone deformities,Slow growth,Abdominal swelling,,,Folic acid,Blood transfusions,Chelation therapy,
Sickle Cell Disease,Hematologic/Genetic,Chronic,Pain episodes,Fatigue,Swelling in hands,Frequent infections,Vision problems,,,Hydroxyurea,Folic acid,Pain relievers,
Hemophilia,Hematologic/Genetic,Chronic,Easy bruising,Excessive bleeding,Joint pain,Swelling,Blood in urine,,,Clotting factors,Desmopressin,-,
Gout,Rheumatic,Moderate,Joint pain,Swelling,Redness,Stiffness,Fever,,,Allopurinol,Colchicine,NSAIDs,
Lupus,Autoimmune,Chronic,Fatigue,Joint pain,Skin rash,Fever,Chest pain,,,Hydroxychloroquine,Prednisone,NSAIDs,
Rheumatoid Arthritis,Autoimmune/Rheumatic,Chronic,Joint pain,Swelling,Morning stiffness,Fatigue,Fever,,,Methotrexate,Sulfasalazine,NSAIDs,
Osteoarthritis,Orthopedic,Chronic,Joint pain,Stiffness,Swelling,Cracking joints,Limited motion,,,Ibuprofen,Naproxen,Physical therapy,
Polymyalgia Rheumatica,Autoimmune,Chronic,Muscle pain,Stiffness,Fatigue,Fever,Weight loss,,,Prednisone,-,-,
Fibromyalgia,Rheumatic,Chronic,Widespread pain,Fatigue,Sleep disturbance,Cognitive issues,Headaches,,,Duloxetine,Pregabalin,Exercise,
Ankylosing Spondylitis,Autoimmune/Rheumatic,Chronic,Lower back pain,Morning stiffness,Fatigue,Limited flexibility,Eye inflammation,,,NSAIDs,Sulfasalazine,Physical therapy,
Sarcoidosis,Autoimmune,Moderate,Fatigue,Cough,Skin rash,Eye pain,Weight loss,,,Prednisone,Methotrexate,Hydroxychloroquine,
Vasculitis,Autoimmune,Chronic,Fatigue,Fever,Joint pain,Rash,Nerve problems,,,Corticosteroids,Immunosuppressants,Biologics,
Cystic Fibrosis,Respiratory/Genetic,Severe,Persistent cough,Frequent lung infections,Wheezing,Shortness of breath,Poor growth,,,Ivacaftor,Lumacaftor,Dornase alfa,
Amyotrophic Lateral Sclerosis,Neurological,Severe,Muscle weakness,Twitching,Difficulty speaking,Difficulty swallowing,Breathing problems,,,Riluzole,Edaravone,Physical therapy,
Huntington's Disease,Neurological/Genetic,Severe,Involuntary movements,Cognitive decline,Mood swings,Depression,Difficulty swallowing,,,Tetrabenazine,Antidepressants,Antipsychotics,
Guillain-Barré Syndrome,Neurological,Severe,Tingling in extremities,Muscle weakness,Difficulty walking,Rapid heart rate,Breathing difficulties,,,IV Immunoglobulin,Plasmapheresis,Pain relievers,
Sarcoidosis,Multisystem,Moderate,Fatigue,Swollen lymph nodes,Weight loss,Skin rashes,Shortness of breath,,,Corticosteroids,Methotrexate,Hydroxychloroquine,
Mucopolysaccharidosis,Genetic/Metabolic,Severe,Coarse facial features,Enlarged organs,Joint stiffness,Developmental delay,Vision problems,,,Enzyme therapy,HSCT,Supportive care,
Tyrosinemia,Metabolic,Severe,Liver dysfunction,Vomiting,Growth failure,Neurologic symptoms,Cabbage-like odor,,,Nitisinone,Dietary therapy,Liver transplant,
Refsum Disease,Neurological/Metabolic,Moderate,Retinitis pigmentosa,Loss of smell,Hearing loss,Balance issues,Dry scaly skin,,,Diet management,Plasmapheresis,Supportive therapy,
Wilson's Disease,Genetic/Metabolic,Severe,Liver issues,Neurological symptoms,Tremors,Fatigue,Personality changes,,,Penicillamine,Zinc acetate,Trientine,
